InterPro Entry Accession	InterPro Entry Name	InterPro Entry Type
IPR007132	Protein of unknown function DUF346	Repeat
IPR007133	RNA polymerase II-associated, Paf1	Family
IPR007134	Autophagy-related protein 3, N-terminal	Domain
IPR007135	Autophagy-related protein 3	Domain
IPR007136	Protein of unknown function DUF347	Repeat
IPR007137	Domain of unknown function DUF348	Domain
IPR007138	Antibiotic biosynthesis monooxygenase	Domain
IPR007139	Protein of unknown function DUF349	Repeat
IPR007140	Protein of unknown function DUF350	Repeat
IPR007141	Proteinase inhibitor I36, SMPI	Domain
IPR007142	Haemagglutinin-esterase glycoprotein, core	Domain
IPR007143	Vacuolar protein sorting-associated, VPS28	Family
IPR007144	Small-subunit processome, Utp11	Family
IPR007145	Microtubule-associated protein, MAP65/Ase1/PRC1	Family
IPR007146	Sas10/Utp3/C1D	Family
IPR007147	Transcription factor Vhr	Family
IPR004885	Protein of unknown function FRD2	Family
IPR004886	Glucanosyltransferase	Family
IPR004887	Glutathione synthase, substrate-binding, eukaryotic	Domain
IPR004888	Glycoside hydrolase, family 63	Family
IPR004889	H2-forming N5,N10-methylenetetrahydromethanopterin dehydrogenase, C-terminal	Domain
IPR004890	Mycoplasma lipoprotein, C-terminal	Domain
IPR004891	MerC mercury resistance protein	Family
IPR004893	Nitrogen fixation protein NifW	Family
IPR004894	Borrelia outer surface protein D OspD	Family
IPR004895	Prenylated rab acceptor PRA1	Family
IPR004896	PucC-related	Family
IPR004897	P/V phosphoprotein, paramyxoviral	Family
IPR005905	D-alanine--D-alanine ligase	Family
IPR005906	Lysine biosynthesis protein LysW	Family
IPR005907	Glucose-1-phosphate thymidylyltransferase, short form	Family
IPR005908	Glucose-1-phosphate thymidylyltransferase, long form	Family
IPR005909	Conserved hypothetical protein CHP01210	Family
IPR005910	Histone acetyltransferase ELP3	Family
IPR005911	Conserved hypothetical protein CHP01212	Family
IPR005912	tRNA pseudouridine synthase, Pus10	Family
IPR005913	dTDP-4-dehydrorhamnose reductase	Family
IPR005914	Acetoacetyl-CoA synthase	Family
IPR005915	Tandem five-TM protein	Family
IPR005916	Phosphomevalonate kinase, eukaryotic	Family
IPR005917	Phosphomevalonate kinase, Gram-positive	Family
IPR005919	Higher eukaryotic phosphomevalonate kinase	Family
IPR005920	Imidazolonepropionase	Family
IPR005921	Histidine ammonia-lyase	Family
IPR005922	Phenylalanine ammonia-lyase	Family
IPR005923	Formiminoglutamase	Family
IPR023918	Colanic acid biosynthesis, pyruvyl transferase, WcaK	Family
IPR005925	Agmatinase-related	Family
IPR005926	Tagatose-6-phosphate kinase	Family
IPR005927	Tagatose 1,6-diphosphate aldolase	Family
IPR005928	6-phospho-beta-galactosidase	Family
IPR005929	L-ribulokinase	Family
IPR005930	Pyruvate carboxylase	Family
IPR005931	1-pyrroline-5-carboxylate dehydrogenase	Family
IPR005932	Delta-1-pyrroline-5-carboxylate dehydrogenase 2	Family
IPR005933	Delta-1-pyrroline-5-carboxylate dehydrogenase 3	Domain
IPR005935	Diphosphomevalonate decarboxylase	Family
IPR005936	Peptidase, FtsH	Family
IPR005937	26S proteasome subunit P45	Family
IPR005938	ATPase, AAA-type, CDC48	Family
IPR005939	Beta-lactamase hydrolase-like	Family
IPR005940	Anthranilate phosphoribosyl transferase	Family
IPR005941	Succinyl-diaminopimelate desuccinylase, proteobacteria	Family
IPR005942	Daunorubicin resistance ABC transporter membrane protein	Family
IPR005943	Daunorubicin resistance protein C	Family
IPR005944	Proline iminopeptidase	Family
IPR005945	Proline-specific peptidase	Family
IPR005946	Ribose-phosphate diphosphokinase	Family
IPR005947	Thiamine ABC transporter, permease protein	Family
IPR005948	Thiamine ABC transporter periplasmic binding protein	Family
IPR005949	Formate acetyltransferase	Family
IPR005950	Molybdenum ABC transporter, periplasmic binding protein	Family
IPR005951	Rim ABC transporter	Family
IPR005952	Phosphoglycerate mutase 1	Family
IPR005953	ATPase, F0 complex, subunit C, bacterial/chloroplast	Family
IPR005954	Histidinol-phosphatase	Domain
IPR005955	Maleylacetoacetate isomerase	Family
IPR005956	4-hydroxyphenylpyruvate dioxygenase	Family
IPR005957	Tyrosine aminotransferase	Domain
IPR005958	Tyrosine/nicotianamine aminotransferase	Domain
IPR005959	Fumarylacetoacetase	Family
IPR005960	Phenylalanine-4-hydroxylase, monomeric form	Family
IPR005961	Phenylalanine-4-hydroxylase, tetrameric form	Family
IPR005962	Tyrosine 3-monooxygenase	Family
IPR005963	Tryptophan 5-monooxygenase	Family
IPR005964	Bacterial glucose/galactose transporter	Family
IPR005965	1-aminocyclopropane-1-carboxylate deaminase	Family
IPR005966	D-cysteine desulfhydrase	Family
IPR005967	Proteobacterial thiamine ABC transporter, periplasmic binding protein	Family
IPR007079	Succinylarginine dihydrolase	Family
IPR007080	RNA polymerase Rpb1, domain 1	Domain
IPR007081	RNA polymerase Rpb1, domain 5	Domain
IPR007083	RNA polymerase Rpb1, domain 4	Domain
IPR007084	BRICHOS domain	Domain
IPR007085	DNA/pantothenate metabolism flavoprotein, C-terminal	Domain
IPR007094	RNA-directed RNA polymerase,  catalytic domain	Domain
IPR007096	RNA-directed RNA polymerase, bacteriophage, catalytic domain	Domain
IPR007097	RNA-directed RNA polymerase, reovirus	Domain
IPR007098	RNA-directed RNA polymerase, mononegavirus	Domain
IPR007099	RNA-directed RNA polymerase, negative-strand RNA virus	Domain
IPR007100	RNA-directed RNA polymerase, birnavirus	Family
IPR007109	Brix domain	Domain
IPR007110	Immunoglobulin-like domain	Domain
IPR007111	NACHT nucleoside triphosphatase	Domain
IPR007112	Expansin/pollen allergen, DPBB domain	Domain
IPR007115	6-pyruvoyl tetrahydropterin synthase/QueD family protein	Family
IPR007117	Expansin, cellulose-binding-like domain	Domain
IPR007118	Expansin/Lol pI	Family
IPR007119	Phage minor structural protein N-terminal domain	Domain
IPR007645	RNA polymerase Rpb2, domain 3	Domain
IPR007646	RNA polymerase Rpb2, domain 4	Domain
IPR007647	RNA polymerase Rpb2, domain 5	Domain
IPR007648	ATPase inhibitor, IATP, mitochondria	Family
IPR007649	Domain of unknown function DUF591	Domain
IPR007650	Protein of unknown function DUF581	Family
IPR007651	Lipin, N-terminal	Domain
IPR007652	Alpha 1,4-glycosyltransferase domain	Domain
IPR007653	Signal peptidase 22kDa subunit	Family
IPR007654	NAD-dependent histone deacetylase Sir2, N-terminal	Domain
IPR007655	Protein of unknown function DUF560	Family
IPR007656	Zein-binding domain	Domain
IPR007657	Glycosyltransferase AER61, uncharacterised	Family
IPR007658	Protein of unknown function DUF594	Family
IPR007659	Keratin, high-sulphur matrix protein	Family
IPR007660	Chordopoxvirinae D3 protein	Family
IPR007662	Capsid sigma C, reoviral	Family
IPR007663	Baculoviridae p74	Family
IPR007664	Poxvirus A28	Family
IPR007666	ADP-specific phosphofructokinase/glucokinase	Family
IPR007667	Hypoxia induced protein, domain	Domain
IPR007668	RFX1 transcription activation region	Domain
IPR007669	Protein of unknown function DUF595	Family
IPR003556	Claudin-14	Family
IPR003557	Cytochrome c-type biogenesis protein CcmC	Family
IPR003558	Cytolethal distending toxin A/C	Family
IPR003559	Cytolethal distending toxin C	Family
IPR003560	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	Family
IPR003562	Mutator MutX protein	Family
IPR003563	7,8-dihydro-8-oxoguanine triphosphatase	Family
IPR003564	dATP pyrophosphohydrolase	Family
IPR003566	T-cell surface glycoprotein CD5	Family
IPR003567	Cytochrome c-type biogenesis protein	Family
IPR003568	Cytochrome c-type biogenesis protein CcmF	Family
IPR003569	Cytochrome c-type biogenesis protein CcbS	Family
IPR003570	Cytochrome c-type biogenesis protein NrfE	Family
IPR003572	Snake cytotoxin	Family
IPR003573	Interleukin-6/Interleukin-23/GCSF/MGF	Family
IPR003574	Interleukin-6	Family
IPR003578	Small GTPase superfamily, Rho type	Family
IPR003579	Small GTPase superfamily, Rab type	Family
IPR003582	Metridin-like ShK toxin	Domain
IPR003583	Helix-hairpin-helix DNA-binding motif, class 1	Domain
IPR003585	Neurexin/syndecan/glycophorin C	Domain
IPR003586	Hint domain C-terminal	Domain
IPR003587	Hint domain N-terminal	Domain
IPR003590	Leucine-rich repeat, ribonuclease inhibitor subtype	Repeat
IPR003591	Leucine-rich repeat, typical subtype	Repeat
IPR003593	AAA+ ATPase domain	Domain
IPR003594	Histidine kinase-like ATPase, ATP-binding domain	Domain
IPR003595	Protein-tyrosine phosphatase, catalytic	Domain
IPR003596	Immunoglobulin V-set, subgroup	Domain
IPR003597	Immunoglobulin C1-set	Domain
IPR003598	Immunoglobulin subtype 2	Domain
IPR003599	Immunoglobulin subtype	Domain
IPR003601	DNA topoisomerase, type IA, domain 2	Domain
IPR003602	DNA topoisomerase, type IA, DNA-binding	Domain
IPR003603	U2A'/phosphoprotein 32 family A, C-terminal	Domain
IPR003604	Zinc finger, U1-type	Domain
IPR003605	TGF beta receptor, GS motif	Domain
IPR003606	Pre-SET zinc-binding sub-group	Domain
IPR002274	Thyrotropin receptor	Family
IPR002275	G protein-coupled receptor 1 orphan	Family
IPR002277	Lysophosphatidic acid receptor EDG-2	Family
IPR002279	Melatonin receptor type 1C	Family
IPR002281	Protease-activated receptor 2	Family
IPR002283	Isopenicillin N synthase	Family
IPR002288	DNA gyrase B subunit, C-terminal	Domain
IPR002290	Serine/threonine- / dual specificity protein kinase, catalytic  domain	Domain
IPR002292	Ornithine/putrescine carbamoyltransferase	Family
IPR023125	Bacterial exotoxin B, ferrodoxin-like domain	Domain
IPR002297	DNA-directed DNA-polymerase, family A, mitochondria	Family
IPR002298	DNA polymerase A	Family
IPR002262	Gap junction alpha-3 protein (Cx46)	Family
IPR002227	Tyrosinase	Domain
IPR002228	Muscarinic acetylcholine receptor M1	Family
IPR002230	Cannabinoid receptor	Family
IPR002231	5-hydroxytryptamine receptor family	Family
IPR002232	5-Hydroxytryptamine 6 receptor	Family
IPR002233	Adrenoceptor family	Family
IPR002235	CXC chemokine receptor 6	Family
IPR002236	CC chemokine receptor 1	Family
IPR002238	CC chemokine receptor 3	Family
IPR002240	CC chemokine receptor 5	Family
IPR002242	Chloride channel ClC-0	Family
IPR002244	Chloride channel ClC-2	Family
IPR002245	Chloride channel ClC-3	Family
IPR002247	Chloride channel ClC-5	Family
IPR002249	Chloride channel ClC-7	Family
IPR002251	Chloride channel ClC-plant	Family
IPR002255	Flavin monooxygenase (FMO) 3	Family
IPR002258	DEZ orphan receptor	Family
IPR002260	Gap junction delta-2 protein (Cx36)	Family
IPR002261	Gap junction alpha-1 protein (Cx43)	Family
IPR002226	Catalase haem-binding site	Binding_site
IPR002190	MAGE protein	Family
IPR002192	Pyruvate phosphate dikinase, PEP/pyruvate-binding	Domain
IPR002194	Chaperonin TCP-1, conserved site	Conserved_site
IPR002195	Dihydroorotase, conserved site	Conserved_site
IPR002197	DNA binding HTH domain,  Fis-type	Domain
IPR002200	Elicitin	Family
IPR002201	Glycosyl transferase, family 9	Family
IPR002202	Hydroxymethylglutaryl-CoA reductase, class I/II	Family
IPR002206	Opsin, pineal type	Family
IPR002208	SecY/SEC61-alpha family	Family
IPR002210	Major capsid L1 (late) protein, Papillomavirus	Family
IPR002211	Lymphocyte-specific protein	Family
IPR002214	Hantavirus nucleocapsid protein	Family
IPR002217	Lipoprotein LPP20	Family
IPR002222	Ribosomal protein S19/S15	Family
IPR002223	Proteinase inhibitor I2, Kunitz metazoa	Domain
IPR002189	F-actin-capping protein subunit alpha	Family
IPR002153	Transient receptor potential channel, canonical	Family
IPR002154	Neuregulin 1-related, C-terminal	Domain
IPR002155	Thiolase	Family
IPR002156	Ribonuclease H domain	Domain
IPR002157	Cobalamin (vitamin B12)-binding transporter, eukaryotic	Family
IPR002159	CD36 antigen	Family
IPR002160	Proteinase inhibitor I3, Kunitz legume	Family
IPR022761	Fumarate lyase, N-terminal	Domain
IPR002165	Plexin	Repeat
IPR002167	Graves disease carrier protein	Family
IPR002169	Peptidase M9A/M9B, collagenase, bacterial	Family
IPR002171	Ribosomal protein L2	Family
IPR002173	Carbohydrate/puine kinase, PfkB, conserved site	Conserved_site
IPR002177	DNA-binding protein Dps	Family
IPR000409	BEACH domain	Domain
IPR000376	Prostaglandin D receptor	Family
IPR000340	Dual specificity phosphatase, catalytic domain	Domain
IPR000341	Phosphatidylinositol 3-kinase Ras-binding (PI3K RBD) domain	Domain
IPR000342	Regulator of G protein signalling	Domain
IPR000343	Tetrapyrrole biosynthesis, glutamyl-tRNA reductase	Family
IPR000344	7TM GPCR, serpentine receptor class a (Sra)	Family
IPR000346	Crustacean neurohormone CHH	Family
IPR000351	Neuropeptide Y1 receptor	Family
IPR000352	Peptide chain release factor class I/class II	Domain
IPR000354	Involucrin repeat	Repeat
IPR000355	Chemokine receptor family	Family
IPR000358	Ribonucleotide reductase small subunit	Family
IPR000362	Fumarate lyase	Family
IPR000363	Alpha 1D adrenoceptor	Family
IPR000366	GPCR fungal pheromone mating factor, STE2	Family
IPR000368	Sucrose synthase	Domain
IPR000369	Potassium channel, voltage-dependent, beta subunit, KCNE	Family
IPR000371	P2Y3 purinoceptor	Family
IPR000374	Phosphatidate cytidylyltransferase	Family
IPR001371	Glycoside hydrolase, family 14B, plant	Family
IPR001372	Dynein light chain, type 1/2	Family
IPR001338	Hydrophobin	Family
IPR001302	Photosystem I PsaI, reaction centre subunit VIII	Family
IPR001303	Class II aldolase/adducin N-terminal	Domain
IPR001304	C-type lectin	Domain
IPR001305	Heat shock protein DnaJ, cysteine-rich domain	Domain
IPR001307	Thiosulphate sulfurtransferase, conserved site	Conserved_site
IPR001309	Peptidase C14, ICE, catalytic subunit p20	Domain
IPR001312	Hexokinase	Family
IPR001314	Peptidase S1A, chymotrypsin-type	Family
IPR001315	CARD domain	Domain
IPR001318	Inhibin, beta C subunit	Family
IPR001320	Ionotropic glutamate receptor	Domain
IPR001322	Lamin Tail Domain	Domain
IPR001325	Interleukin-4/interleukin-13	Family
IPR001327	Pyridine nucleotide-disulphide oxidoreductase, NAD-binding domain	Domain
IPR001329	Glycoside hydrolase, family 56, allergen Api/Dol m 2	Family
IPR001332	GL envelope glycoprotein, arterivirus	Family
IPR001333	Peptidase M32, carboxypeptidase Taq metallopeptidase	Family
IPR001301	Geminivirus AL1 replication-associated protein, CLV type	Family
IPR001265	Formin homology family, Cappuccino subfamily	Family
IPR001266	Ribosomal protein S19e	Family
IPR001267	Thymidine kinase	Family
IPR001268	NADH:ubiquinone oxidoreductase, 30kDa subunit	Domain
IPR001269	tRNA-dihydrouridine synthase	Family
IPR001270	ClpA/B family	Family
IPR001273	Aromatic amino acid hydroxylase	Family
IPR001275	DM DNA-binding domain	Domain
IPR001278	Arginine-tRNA ligase, class Ia	Family
IPR001283	Allergen V5/Tpx-1-related	Family
IPR001285	Synaptophysin/synaptoporin	Family
IPR001287	Nitrite reductase, copper-type	Family
IPR001288	Translation initiation factor 3	Family
IPR001292	Oestrogen receptor	Family
IPR000819	Peptidase M17, leucyl aminopeptidase, C-terminal	Domain
IPR000825	SUF system FeS cluster assembly, SufBD	Family
IPR000827	CC chemokine, conserved site	Conserved_site
IPR000830	Peripherin/rom-1	Family
IPR000832	GPCR, family 2, secretin-like	Family
IPR000834	Peptidase M14, carboxypeptidase A	Domain
IPR000837	Fos transforming protein	Family
IPR000839	Porin, Oms28 type	Family
IPR000841	Peptidase M23A, B-lytic metalloendopeptidase	Family
IPR000843	Transcription regulator HTH, LacI	Domain
IPR000845	Nucleoside phosphorylase domain	Domain
IPR000847	Transcription regulator HTH, LysR	Domain
IPR000850	Adenylate kinase	Family
IPR000852	Glycoside hydrolase, family 52	Family
IPR000855	Peptidase C5, adenain	Family
IPR000864	Proteinase inhibitor I13, potato inhibitor I	Family
IPR000868	Isochorismatase-like	Domain
IPR000871	Beta-lactamase, class-A/D	Family
IPR000874	Bombesin/neuromedin-B/ranatensin peptide family	Family
IPR000877	Proteinase inhibitor I12, Bowman-Birk	Domain
IPR000878	Tetrapyrrole methylase	Domain
IPR000883	Cytochrome c oxidase, subunit I	Family
IPR000888	dTDP-4-dehydrorhamnose 3,5-epimerase-related	Family
IPR000890	Aliphatic acid kinase, short-chain	Family
IPR000897	Signal recognition particle, SRP54 subunit, GTPase domain	Domain
IPR000905	Gcp-like domain	Domain
IPR000909	Phospholipase C, phosphatidylinositol-specific , X domain	Domain
IPR000911	Ribosomal protein L11	Family
IPR000912	Herpesvirus major capsid protein	Family
IPR000914	Bacterial extracellular solute-binding protein, family 5	Domain
IPR000918	Isocitrate lyase/phosphorylmutase	Domain
IPR000920	Myelin P0 protein	Family
IPR000922	D-galactoside/L-rhamnose binding SUEL lectin domain	Domain
IPR000924	Glutamyl/glutaminyl-tRNA synthetase, class Ib	Family
IPR000935	Thrombin receptor	Family
IPR000937	Icosahedral viral capsid protein, S domain	Domain
IPR000939	Adenoviral fibre protein, repeat/shaft region	Repeat
IPR000942	Geminivirus AL2 coat protein, MSV type	Family
IPR000944	Transcription regulator Rrf2-like	Family
IPR000952	Uncharacterised protein family UPF0017, hydrolase-like, conserved site	Conserved_site
IPR000957	Sulphate/thiosulphate-binding, conserved site	Conserved_site
IPR000960	Flavin monooxygenase FMO	Family
IPR000962	Zinc finger, DksA/TraR C4-type	Domain
IPR000965	Gamma-glutamyl phosphate reductase GPR	Domain
IPR000966	Metallothionein, family 5, Diptera	Family
IPR000977	DNA ligase, ATP-dependent	Family
IPR000978	Adenoviral fibre protein, knob	Domain
IPR000981	Neurohypophysial hormone	Family
IPR000983	Bacterial general secretion pathway protein G-type pilin	Family
IPR000986	Neuropeptide Y6 receptor	Family
IPR000988	Ribosomal protein L24e-related	Family
IPR024675	Eukaryotic translation initiation factor 3 subunit G, N-terminal	Domain
IPR000995	Muscarinic acetylcholine receptor family	Family
IPR000999	Ribonuclease III domain	Domain
IPR001003	MHC class II, alpha chain, N-terminal	Domain
IPR001013	Neurokinin NK3 receptor	Family
IPR024708	Catalase active site	Active_site
IPR001018	Beta-lactamase, class-B, conserved site	Conserved_site
IPR003005	Amphiphysin	Family
IPR003006	Immunoglobulin/major histocompatibility complex, conserved site	Conserved_site
IPR003010	Carbon-nitrogen hydrolase	Domain
IPR003012	Tetracycline transcriptional regulator, TetR	Family
IPR003016	2-oxo acid dehydrogenase, lipoyl-binding site	Binding_site
IPR003017	Amphiphysin, isoform 1	Family
IPR003018	GAF domain	Domain
IPR003019	Metallothionein superfamily, eukaryotic	Family
IPR003020	Bicarbonate transporter, eukaryotic	Family
IPR003021	Rad1/Rec1/Rad17	Family
IPR003022	Transcription factor Otx2	Family
IPR003023	Amphiphysin, isoform 2	Family
IPR003024	Sodium bicarbonate cotransporter	Family
IPR003025	Transcription factor Otx	Family
IPR003026	Transcription factor Otx1	Family
IPR003027	Exonuclease Rec1, Ustilaginaceae	Family
IPR003028	Sodium:neurotransmitter symporter, glycine, type 1	Family
IPR003029	Ribosomal protein S1, RNA-binding domain	Domain
IPR003031	Delta crystallin	Family
IPR003032	Ryanodine receptor Ryr	Domain
IPR003033	SCP2 sterol-binding domain	Domain
IPR003034	SAP domain	Domain
IPR003035	RWP-RK domain	Domain
IPR003036	Core shell protein Gag P30	Domain
IPR003038	DAD/Ost2	Family
IPR007148	Small-subunit processome, Utp12	Domain
IPR007149	Leo1-like protein	Family
IPR007150	Checkpoint protein Hus1/Mec3	Family
IPR007151	Mpp10 protein	Family
IPR007152	Protein of unknown function DUF354	Family
IPR007153	Adenosine specific kinase	Family
IPR007154	Protein of unknown function DUF356	Family
IPR007156	LemA	Family
IPR007157	PspA/IM30	Family
IPR007158	tRNA (pseudouridine(54)-N(1))-methyltransferase,  TrmY	Family
IPR007159	AbrB-like domain	Domain
IPR007160	Domain of unknown function DUF362	Domain
IPR007161	Protein of unknown function DUF364	Family
IPR007162	Protein of unknown function DUF366	Family
IPR007163	Protein of unknown function DUF368	Family
IPR007164	Protein of unknown function DUF359	Family
IPR007165	Membrane protein of unknown function	Family
IPR007166	Class III signal peptide motif	Conserved_site
IPR007167	Ferrous iron transporter FeoA domain	Domain
IPR007168	Phage shock protein, PspC, N-terminal	Domain
IPR007169	Uncharacterised protein family UPF0296	Family
IPR007170	Sporulation stage V, protein G	Family
IPR007171	Protein of unknown function DUF371	Family
IPR007172	Domain of unknown function DUF374	Domain
IPR007173	D-arabinono-1,4-lactone oxidase	Domain
IPR007174	Las1-like	Family
IPR007175	RNAse P, Rpr2/Rpp21 subunit	Family
IPR007176	Protein of unknown function DUF365	Family
IPR007177	Domain of unknown function DUF367	Domain
IPR007178	DNA-directed RNA polymerase subunit E2	Family
IPR007179	7,8-dihydroneopterin aldolase MtpD, N-terminal domain	Domain
IPR007180	Domain of unknown function DUF382	Domain
IPR007181	7,8-dihydroneopterin aldolase MtpD, C-terminal domain	Domain
IPR007182	Na+/H+ antiporter MnhB subunit-related protein	Domain
IPR007183	Uncharacterised protein family UPF0280	Family
IPR007184	Glycosidase, PH1107-related	Family
IPR007185	DNA polymerase alpha/epsilon, subunit B	Domain
IPR004543	Translation elongation factor EFG/EF2, archaeal	Family
IPR004544	Translation initiation factor aIF-2, archaea	Family
IPR004545	Proliferation-associated protein 1	Family
IPR004546	Restriction endonuclease, type I, HsdM	Family
IPR004547	Glucosamine-6-phosphate isomerase	Family
IPR004548	Peptide chain release factor 3	Family
IPR004549	Acetyl-CoA carboxylase, biotin carboxylase	Family
IPR004550	L-asparaginase, type II	Family
IPR004551	Diphthine synthase	Family
IPR004552	1-acyl-sn-glycerol-3-phosphate acyltransferase	Domain
IPR004553	Hydroxymethylglutaryl-CoA reductase, bacterial-type	Family
IPR004554	Hydroxymethylglutaryl-CoA reductase, eukaryotic/arcaheal type	Family
IPR004555	Glucose-6-phosphate dehydrogenase assembly protein OpcA	Family
IPR004556	Modification methylase HemK	Family
IPR004557	Eukaryotic/archaeal PrmC-related	Family
IPR004559	Coproporphyrinogen III oxidase, oxygen-independent related	Family
IPR004560	L-ribulose-5-phosphate 3-epimerase	Family
IPR004561	Isochorismate synthase	Family
IPR004562	Lipoyltransferase/lipoate-protein ligase	Family
IPR004563	Apolipoprotein N-acyltransferase	Family
IPR004564	Outer membrane lipoprotein carrier protein LolA-like	Family
